1425 problems to do (model=qwen2.5-coder:7b):
#952	2500	G2. Baudelaire (hard version)
#953	800	A. Three Decks
#954	1000	B. Move to the End
#955	1100	C. Card Game
#956	1400	D. Array and GCD
#957	1700	E. Unpleasant Strings
#958	2600	F. Numbers and Strings
#959	2700	G. Modulo 3
#960	800	A. Common Multiple
#961	1100	B. Binary Typewriter
#962	1600	C. Median Splits
#963	2000	D. Local Construction
#964	2600	E. Keep the Sum
#965	2600	F. Maximize Nor
#966	900	A. Dinner Time
#967	900	B. The Picky Cat
#968	1300	A. Mex in the Grid
#969	1800	B. Quartet Swapping
#970	2200	C. 23 Kingdom
#971	2500	D. Mani and Segments
#972	3100	E. Kia Bakes a Cake
#973	3300	F. Shoo Shatters the Sunshine
#974	800	A. Vadim's Collection
#975	1400	B. Sasha and the Apartment Purchase
#976	1400	A. Sports Betting
#977	2300	B. Baggage Claim
#978	2400	C. Bermuda Triangle
#979	2800	D. Homework
#980	3100	E. Clearing the Snowdrift
#981	3500	F. Lost Luggage
#982	800	A. Wonderful Sticks
#983	1100	B. Wonderful Gloves
#984	1700	C. Wonderful City
#985	2000	D. Wonderful Lightbulbs
#986	2400	E. Wonderful Teddy Bears
#987	3100	F. Wonderful Impostors
#988	3200	G. Wonderful Guessing Game
#989	3200	H. Wonderful XOR Problem
#990	1200	A. Piecing It Together
#991	1200	B. Plinko
#992	1200	C. Would It Be Unrated?
#993	1200	D. Where Am I?
#994	1200	E. Pair Count
#995	1200	F. ⅓ оf а Рrоblеm
#996	1200	G. Definitely a Geometry Problem
#997	1200	H. Blurry Vision
#998	1200	I. Mysterious Script
#999	1200	J. Premiere at a Wrong Time
#1000	800	A. Trippi Troppi
#1001	800	B. Bobritto Bandito
#1002	900	C. Brr Brrr Patapim
#1003	1100	D. Tung Tung Sahur
#1004	1200	E. Boneca Ambalabu
#1005	1600	F. Trulimero Trulicina
#1006	1700	G. Chimpanzini Bananini
#1007	1900	H. La Vaca Saturno Saturnita
#1008	800	A. Ideal Generator
#1009	900	B. Expensive Number
#1010	1000	C. Simple Repetition
#1011	1400	D. Skibidi Table
#1012	1500	E. Min Max MEX
#1013	1800	F. Hackers and Neural Networks
#1014	1900	G. Shorten the Array
#1015	800	A. Kamilka and the Sheep
#1016	1000	B. Lady Bug
#1017	1200	C. Asuna and the Mosquitoes
#1018	1800	D. Mishkin Energizer
#1019	2100	E. She knows...
#1020	2900	F. Andryusha and CCB
#1021	800	A. Olympiad Date
#1022	800	B. Team Training
#1023	1000	C. Combination Lock
#1024	1200	D. Place of the Olympiad
#1025	1300	E. Interesting Ratio
#1026	1800	F. Igor and Mountain
#1027	2300	G. Gleb and Boating
#1028	800	A. Treasure Hunt
#1029	1000	B. Pushing Balls
#1030	1700	C. Dining Hall
#1031	1700	A. Simple Permutation
#1032	1900	B1. Canteen (Easy Version)
#1033	2300	B2. Canteen (Hard Version)
#1034	2200	C1. Key of Like (Easy Version)
#1035	3100	C2. Key of Like (Hard Version)
#1036	3200	D. Conditional Operators
#1037	3500	E. Black Cat Collapse
#1038	1200	A. Password Generator
#1039	1200	B. Showmatch
#1040	1200	C. Coin Game
#1041	1200	D. Uppercase or Lowercase?
#1042	1200	E. Color the Arrows
#1043	1200	F. Weapon Upgrade
#1044	1200	G. Esports in Berland
#1045	1200	H. Nim with Special Numbers
#1046	1200	I. Hamiltonian Partition
#1047	800	A. Cloudberry Jam
#1048	1100	B. Large Array and Segments
#1049	1300	C. Disappearing Permutation
#1050	1700	D. Even String
#1051	2400	E. Zebra-like Numbers
#1052	3000	F. Online Palindrome
#1053	900	A. Serval and String Theory
#1054	1200	B. Serval and Final MEX
#1055	1600	C. Serval and The Formula
#1056	2000	D. Serval and Kaitenzushi Buffet
#1057	2200	E. Serval and Modulo
#1058	2600	F1. Serval and Colorful Array (Easy Version)
#1059	2900	F2. Serval and Colorful Array (Hard Version)
#1060	800	A. Max and Mod
#1061	1100	B. MIN = GCD
#1062	1400	C. You Soared Afar With Grace
#1063	1600	D. Arcology On Permafrost
#1064	2400	E. Blossom
#1065	2900	F. Skyscape
#1066	2600	G1. Wish Upon a Satellite (Easy Version)
#1067	3500	G2. Wish Upon a Satellite (Hard Version)
#1068	3500	H. Turtle and Nediam 2
#1069	800	A. Binary Matrix
#1070	1600	B. Floor or Ceil
#1071	1800	A. Math Division
#1072	2500	B. Balancing
#1073	2700	C. Quaternary Matrix
#1074	2600	D. MST in Modulo Graph
#1075	3300	E. Quantifier
#1076	3300	F. Hot Matrix
#1077	3100	G1. Hard Formula
#1078	3400	G2. Hard Formula (Hard Version)
#1079	800	A. Final Verdict
#1080	1100	B. Vicious Labyrinth
#1081	1800	D. Scammy Game Ad
#1082	1500	A. Breach of Faith
#1083	1900	B. Finding OR Sum
#1084	2300	C. Binary Subsequence Value Sum
#1085	3100	D. Maximum Polygon
#1086	2700	E. Another Folding Strip
#1087	3300	F. AND x OR
#1088	3500	G. RGB Walking
#1089	800	A. To Zero
#1090	1300	B. Array Recoloring
#1091	1500	C. Two Colors
#1092	2000	D. Equalization
#1093	2500	E. XOR Matrix
#1094	3000	F. Beautiful Sequence Returns
#1095	800	A. Draw a Square
#1096	800	B. The Third Side
#1097	1100	C. XOR and Triangle
#1098	1400	D. Counting Points
#1099	1600	E. Empty Triangle
#1100	2000	F. Counting Necessary Nodes
#1101	2100	G. Game With Triangles: Season 2
#1102	800	A. New World, New Me, New Array
#1103	900	B. Having Been a Treasurer in the Past, I Help Goblins Deceive
#1104	1200	C. Creating Keys for StORages Has Become My Main Skill
#1105	1300	D. For Wizards, the Exam Is Easy, but I Couldn't Handle It
#1106	1500	E. Do You Love Your Hero and His Two-Hit Multi-Target Attacks?
#1107	1700	F. Goodbye, Banker Life
#1108	2200	G. I've Been Flipping Numbers for 300 Years and Calculated the Sum
#1109	800	A. The Play Never Ends
#1110	1100	B. Perfecto
#1111	1700	C. Trapmigiano Reggiano
#1112	1800	D1. Infinite Sequence (Easy Version)
#1113	2500	D2. Infinite Sequence (Hard Version)
#1114	2600	E. LeaFall
#1115	2700	F. Towering Arrays
#1116	800	A. FizzBuzz Remixed
#1117	1100	B. Robot Program
#1118	1500	C. Limited Repainting
#1119	1600	D. Tree Jumps
#1120	2200	E. Game with Binary String
#1121	3000	F. Friends and Pizza
#1122	800	A. Was there an Array?
#1123	1200	B. Set of Strangers
#1124	1500	C. Beautiful Sequence
#1125	1800	D. Palindrome Shuffle
#1126	2300	E. A, B, AB and BA
#1127	2800	F. Graph Inclusion
#1128	2300	A. Condorcet Elections
#1129	3100	B. Urban Planning
#1130	2100	C. Ads
#1131	3100	D. Morse Code
#1132	2800	E. Porto Vs. Benfica
#1133	1900	F. Mascot Naming
#1134	3500	G. A Very Long Hike
#1135	2700	H. Statues
#1136	3500	I. Pinball
#1137	2000	J. The Ultimate Wine Tasting Event
#1138	3000	K. Amusement Park Rides
#1139	800	A. Adjacent Digit Sums
#1140	1200	B. Two Large Bags
#1141	1500	C. Devyatkino
#1142	1400	A. Object Identification
#1143	1900	B. White Magic
#1144	2300	C. Bitwise Slides
#1145	2400	D1. Club of Young Aircraft Builders (easy version)
#1146	2900	D2. Club of Young Aircraft Builders (hard version)
#1147	3300	E. Tropical Season
#1148	3300	F. Curse
#1149	800	A. Skibidus and Amog'u
#1150	800	B. Skibidus and Ohio
#1151	1100	C1. Skibidus and Fanum Tax (easy version)
#1152	1300	C2. Skibidus and Fanum Tax (hard version)
#1153	1200	D. Skibidus and Sigma
#1154	1600	E. Skibidus and Rizz
#1155	1700	F. Skibidus and Slay
#1156	1700	G. Skibidus and Capping
#1157	2200	H. Bro Thinks He's Him
#1158	800	A. Brogramming Contest
#1159	1100	B. Variety is Discouraged
#1160	1300	C. Remove the Ends
#1161	1900	D. Eating
#1162	2400	E. Mycraft Sand Sort
#1163	2600	F. We Be Summing
#1164	800	A. Minimal Coprime
#1165	1100	B. Subsequence Update
#1166	1600	C. Remove Exactly Two
#1167	2000	D. Game With Triangles
#1168	2300	E. Triangle Tree
#1169	2400	F1. Counting Is Not Fun (Easy Version)
#1170	2700	F2. Counting Is Not Fun (Hard Version)
#1171	800	A. String
#1172	900	B. Clockwork
#1173	1200	C. Cirno and Operations
#1174	2200	D. Balanced Tree
#1175	2000	E1. The Game (Easy Version)
#1176	3000	E2. The Game (Hard Version)
#1177	2900	F. Traveling Salescat
#1178	3500	G. Permutation Factory
#1179	3500	H. Galaxy Generator
#1180	800	A. Kevin and Arithmetic
#1181	1100	B. Kevin and Geometry
#1182	1600	C. Kevin and Puzzle
#1183	1600	D. Kevin and Numbers
#1184	2000	E. Kevin and And
#1185	2100	F1. Kevin and Binary String (Easy Version)
#1186	3500	F2. Kevin and Binary String (Hard Version)
#1187	2900	G. Kevin and Teams
#1188	3500	H1. Kevin and Stones (Easy Version)
#1189	3500	H2. Kevin and Stones (Hard Version)
#1190	3500	I. Kevin and Nivek
#1191	800	A. Fibonacciness
#1192	1000	B. Farmer John's Card Game
#1193	900	C. Game of Mathletes
#1194	1100	D. Subtract Min Sort
#1195	1500	E. Graph Composition
#1196	2200	F. Multiplicative Arrays
#1197	2400	G. Bugged Sort
#1198	800	A. Milya and Two Arrays
#1199	1300	B. Cost of the Array
#1200	1600	C. Customer Service
#1201	1900	D. Graph and Graph
#1202	2500	E1. Stop Gaming (Easy Version)
#1203	2900	E2. Stop Gaming (Hard Version)
#1204	800	A. MEX Table
#1205	1000	B. Gorilla and the Exam
#1206	1500	C. Trip to the Olympiad
#1207	2000	D. Gifts Order
#1208	2300	E1. Another Exercise on Graphs (Easy Version)
#1209	2500	E2. Another Exercise on Graphs (hard version)
#1210	3300	F. Formation
#1211	3000	G. Secret Message
#1212	3500	H. Coffee Break
#1213	800	A. Shape Perimeter
#1214	1300	B. Find the Permutation
#1215	1200	C. Palindromic Subsequences
#1216	2200	D. Unique Median
#1217	2500	E. Nested Segments
#1218	2700	F1. Xor of Median (Easy Version)
#1219	3000	F2. Xor of Median (Hard Version)
#1220	800	A. Two Frogs
#1221	1000	B. Crafting
#1222	1400	C. The Trail
#1223	2000	D. Scarecrow
#1224	2800	E. Haystacks
#1225	3200	F. Cosmic Divide
#1226	800	A. Tender Carpenter
#1227	1200	B. Outstanding Impressionist
#1228	1500	C. Bewitching Stargazer
#1229	1700	D. Refined Product Optimality
#1230	1900	E. Resourceful Caterpillar Sequence
#1231	2600	F. Earnest Matrix Complement
#1232	3400	G. Naive String Splits
#1233	3500	H. Delicate Anti-monotonous Operations
#1234	2800	I1. Affectionate Arrays (Easy Version)
#1235	3500	I2. Affectionate Arrays (Hard Version)
#1236	1600	A. Adrenaline Rush
#1237	2100	D. DAG Serialization
#1238	1900	E. Expression Correction
#1239	1700	F. Fix Flooded Floor
#1240	2800	G. Geometric Balance
#1241	2000	J. Judicious Watching
#1242	800	A. Preparing for the Olympiad
#1243	800	B. Journey
#1244	1000	C. Preparing for the Exam
#1245	1200	D. Counting Pairs
#1246	1600	E. Best Price
#1247	2000	F. Joker
#1248	2100	G. Snakes
#1249	800	A. Line Breaks
#1250	1100	B. Transfusion
#1251	1200	C. Uninteresting Number
#1252	1300	D. Digital string maximization
#1253	1500	E. Three Strings
#1254	1700	F. Maximum modulo equality
#1255	1900	G. Tree Destruction
#1256	800	A. MEX Destruction
#1257	1300	B. pspspsps
#1258	1500	C. MEX Cycle
#1259	1900	D. Shift + Esc
#1260	2400	E. Broken Queries
#1261	2700	F. MEX OR Mania
#1262	800	A. Kevin and Combination Lock
#1263	900	B. Kevin and Permutation
#1264	1200	C. Kevin and Binary Strings
#1265	1600	D. Kevin and Competition Memories
#1266	2000	E. Kevin and Bipartite Graph
#1267	2500	F. Kevin and Math Class
#1268	2800	G. Kevin and Matrices
#1269	3100	H. Kevin and Strange Operation
#1270	3500	I1. Kevin and Puzzle (Easy Version)
#1271	3500	I2. Kevin and Puzzle (Hard Version)
#1272	800	A. Alyona and a Square Jigsaw Puzzle
#1273	900	B. Replace Character
#1274	1200	A. Swap Columns and Find a Path
#1275	1600	B. Move Back at a Cost
#1276	2100	C. Adventurers
#1277	3100	D. For the Emperor!
#1278	2900	E1. Cheops and a Contest (Easy Version)
#1279	3500	E2. Cheops and a Contest (Hard Version)
#1280	3300	F1. Yandex Cuneiform (Easy Version)
#1281	3500	F2. Yandex Cuneiform (Hard Version)
#1282	1700	A. Scrambled Scrabble
#1283	2000	B. ICPC Square
#1284	1400	C. Saraga
#1285	3500	D. Aquatic Dragon
#1286	2700	E. Narrower Passageway
#1287	3000	F. Grid Game 3-angle
#1288	2200	G. X Aura
#1289	2200	H. Missing Separators
#1290	2100	I. Microwavable Subsequence
#1291	2600	J. Xorderable Array
#1292	2900	K. GCDDCG
#1293	3000	L. Buggy DFS
#1294	1800	M. Mirror Maze
#1295	800	A. Easy Problem
#1296	800	B. Normal Problem
#1297	800	C. Hard Problem
#1298	1100	D. Harder Problem
#1299	1300	E. Insane Problem
#1300	1900	F. Easy Demon Problem
#1301	1700	G1. Medium Demon Problem (easy version)
#1302	1900	G2. Medium Demon Problem (hard version)
#1303	2100	H. Hard Demon Problem
#1304	800	A. Coin Transformation
#1305	1100	B. Digits
#1306	1600	C. Sums on Segments
#1307	1800	D. Problem about GCD
#1308	2300	E. Matrix Transformation
#1309	2700	F. Nim
#1310	3000	G. Problem with Queries
#1311	800	A. Greedy Monocarp
#1312	900	B. Game with Colored Marbles
#1313	1800	C. Competitive Fishing
#1314	1900	D. Recommendations
#1315	2900	E. Vertex Pairs
#1316	2600	F. Two Subarrays
#1317	1300	A. The Bento Box Adventure
#1318	1200	B. Bowling Frame
#1319	2000	C. Cube
#1320	1700	D. Drunken Maze
#1321	1200	E. Beautiful Array
#1322	2400	F. Segmentation Folds
#1323	3100	G. Grid Game
#1324	2300	H. Sheet Music
#1325	2300	I. Auto Complete
#1326	2700	J. Bottle Arrangement
#1327	3100	K. Trophic Balance Species
#1328	2900	L. Building Castle
#1329	2000	M. Selection Sort
#1330	3300	N. Railway Construction
#1331	800	A. Game of Division
#1332	1000	B. Paint a Strip
#1333	1600	C. Ordered Permutations
#1334	1900	D. Non Prime Tree
#1335	2100	E. Control of Randomness
#1336	2700	F. Number of Cubes
#1337	800	A. Shohag Loves Mod
#1338	1000	B. Shohag Loves Strings
#1339	1200	C1. Shohag Loves XOR (Easy Version)
#1340	1800	C2. Shohag Loves XOR (Hard Version)
#1341	1700	D. Shohag Loves GCD
#1342	2200	E. Shohag Loves Inversions
#1343	2800	F1. Shohag Loves Counting (Easy Version)
#1344	3200	F2. Shohag Loves Counting (Hard Version)
#1345	3500	G. Shohag Loves Pebae
#1346	3500	H1. Cool Swap Walk (Easy Version)
#1347	3500	H2. Cool Swap Walk (Hard Version)
#1348	1400	A. Bonus Project
#1349	2100	B. Make It Equal
#1350	1400	C. DIY
#1351	2400	D. Divide OR Conquer
#1352	2900	E. Barrels
#1353	2500	F. Alternative Platforms
#1354	1900	G. Guess One Character
#1355	3000	H. Galactic Council
#1356	2500	I. Polyathlon
#1357	800	J. Waiting for...
#1358	2100	K. Grid Walk
#1359	1400	L. Bridge Renovation
#1360	2800	M. Royal Flush
#1361	800	N. Fixing the Expression
#1362	800	A. Twice
#1363	800	B. Intercepted Inputs
#1364	1000	C. Superultra's Favorite Permutation
#1365	1300	D. Sharky Surfing
#1366	1600	E. Kachina's Favorite Binary String
#1367	2100	F. Ardent Flames
#1368	2000	G. Natlan Exploring
#1369	800	A. Quintomania
#1370	800	B. Startup
#1371	1100	C. Anya and 1100
#1372	1300	D. I Love 1543
#1373	1600	E. Reverse the Rivers
#1374	1900	F. XORificator 3000
#1375	2200	G. Library of Magic
#1376	800	A. Sliding
#1377	900	B. Everyone Loves Tres
#1378	1400	C. Alya and Permutation
#1379	1800	D. Yet Another Real Number Problem
#1380	2300	E. Monster
#1381	2500	F. Tree Operations
#1382	3300	G1. Go Learn! (Easy Version)
#1383	3500	G2. Go Learn! (Hard Version)
#1384	3500	H. Peak Productivity Forces
#1385	800	A. King Keykhosrow's Mystery
#1386	1000	B. Rakhsh's Revival
#1387	1400	C. Trapped in the Witch's Labyrinth
#1388	1600	D. Darius' Wisdom
#1389	2200	E. Permutations Harmony
#1390	2500	F1. Khayyam's Royal Decree (Easy Version)
#1391	2800	F2. Khayyam's Royal Decree (Hard Version)
#1392	3500	G1. Simurgh's Watch (Easy Version)
#1393	3500	G2. Simurgh's Watch (Hard Version)
#1394	3300	H. Rayan vs. Rayaneh
#1395	800	A. Sakurako and Kosuke
#1396	900	B. Sakurako and Water
#1397	1400	C. Sakurako's Field Trip
#1398	1300	D. Kousuke's Assignment
#1399	1400	E. Sakurako, Kosuke, and the Permutation
#1400	1800	F. Kosuke's Sloth
#1401	2200	G. Sakurako and Chefir
#1402	800	A. Circuit
#1403	1100	B. Medians
#1404	1400	C. Trinity
#1405	1800	D. Genokraken
#1406	2400	E. Balanced
#1407	2700	F. Peanuts
#1408	800	A. Penchick and Modern Monument
#1409	900	B. Penchick and Satay Sticks
#1410	1300	C. Penchick and BBQ Buns
#1411	1700	D. Penchick and Desert Rabbit
#1412	2100	E. Penchick and Chloe's Trees
#1413	2800	F. Penchick and Even Medians
#1414	800	A. A Gift From Orangutan
#1415	800	B. Minimise Oneness
#1416	1100	C. A TRUE Battle
#1417	1700	D. QED's Favorite Permutation
#1418	2200	E. MEXimize the Score
#1419	2400	F. Orangutan Approved Subarrays
#1420	2900	G1. The Destruction of the Universe (Easy Version)
#1421	3100	G2. The Destruction of the Universe (Hard Version)
#1422	800	A. Set
#1423	1100	B. Replacement
#1424	1700	C. New Rating
#1425	1900	D. Cool Graph
#1426	2100	E. Common Generator
#1427	2500	F. Palindrome Everywhere
#1428	3000	G. Balanced Problem
#1429	3500	H. Message Spread
#1430	3400	I. Variance Challenge
#1431	900	A. Alice's Adventures in ''Chess''
#1432	1400	B. Alice's Adventures in Permuting
#1433	1600	C. Alice's Adventures in Cutting Cake
#1434	2000	D. Alice's Adventures in Cards
#1435	2300	E. Alice's Adventures in the Rabbit Hole
#1436	2700	F. Alice's Adventures in Addition
#1437	800	A. Rectangle Arrangement
#1438	1100	B. Stalin Sort
#1439	1500	C. Add Zeros
#1440	1700	D1. The Endspeaker (Easy Version)
#1441	2200	D2. The Endspeaker (Hard Version)
#1442	2800	E1. Bit Game (Easy Version)
#1443	3100	E2. Bit Game (Hard Version)
#1444	900	A. Perpendicular Segments
#1445	1300	B. Black Cells
#1446	1500	C. Action Figures
#1447	1900	D. Sums of Segments
#1448	2500	E. Best Subsequence
#1449	2700	F. Bermart Ice Cream
#1450	800	A. Two Screens
#1451	1100	B. Binomial Coefficients, Kind Of
#1452	1300	C. New Game
#1453	1800	D. Attribute Checks
#1454	2200	E. Card Game
#1455	2700	F. Choose Your Queries
#1456	3000	G. Variable Damage
#1457	800	A. Profitable Interest Rate
#1458	1100	B. Buying Lemonade
#1459	1300	A. Concatenation of Arrays
#1460	1700	B. Skipping
#1461	2400	C. C+K+S
#1462	2900	D. Many Games
#1463	3300	E. Tree of Life
#1464	3500	F. Hills and Pits
#1465	800	A. Bus to Pénjamo
#1466	1300	B. Kar Salesman
#1467	1800	C. Gerrymandering
#1468	1900	D1. Asesino (Easy Version)
#1469	2700	D2. Asesino (Hard Version)
#1470	2500	E1. Billetes MX (Easy Version)
#1471	2600	E2. Billetes MX (Hard Version)
#1472	800	A. Meaning Mean
#1473	1200	B. Maximize Mex
#1474	1300	C1. Adjust The Presentation (Easy Version)
#1475	1900	C2. Adjust The Presentation (Hard Version)
#1476	2500	D. Boss, Thirsty
#1477	2300	E1. Digital Village (Easy Version)
#1478	2500	E2. Digital Village (Hard Version)
#1479	2800	E3. Digital Village (Extreme Version)
#1480	800	A. Find Minimum Operations
#1481	1200	B. Brightness Begins
#1482	1400	C. Bitwise Balancing
#1483	1800	D. Connect the Dots
#1484	2000	E. Expected Power
#1485	2900	F. Count Leaves
#1486	800	A. Max Plus Size
#1487	1200	B. All Pairs Segments
#1488	1600	A. Cards Partition
#1489	1900	B. Speedbreaker
#1490	1700	C. Tree Pruning
#1491	2200	D. Max Plus Min Plus Size
#1492	3300	E1. Complex Segments (Easy Version)
#1493	3400	E2. Complex Segments (Hard Version)
#1494	2900	F1. Speedbreaker Counting (Easy Version)
#1495	3000	F2. Speedbreaker Counting (Medium Version)
#1496	3100	F3. Speedbreaker Counting (Hard Version)
#1497	800	A. Robin Helps
#1498	800	B. Robin Hood and the Major Oak
#1499	1100	C. Robin Hood in Town
#1500	1400	D. Robert Hood and Mrs Hood
#1501	1800	E. Rendez-vous de Marian et Robin
#1502	2000	F. Sheriff's Defense
#1503	2200	G. Milky Days
#1504	1900	H. Robin Hood Archery
#1505	800	A. Zhan's Blender
#1506	900	B. Battle for Survive
#1507	1400	C. Password Cracking
#1508	1900	D. Minimize the Difference
#1509	2200	E. Prefix GCD
#1510	2700	F1. Game in Tree (Easy Version)
#1511	3500	F2. Game in Tree (Hard Version)
#1512	1200	A. Problem Solving
#1513	1200	B. Shuffle
#1514	1200	C. Split the Expression
#1515	1200	D. Among Wolves
#1516	1200	E. Rock-Paper-Scissors Bot
#1517	1200	F. Good Subarray
#1518	1200	G. Removal of a Permutation
#1519	1200	H. Strange Matrix
#1520	1200	I. Stack and Queue
#1521	800	A. Alternating Sum of Numbers
#1522	800	B. Three Brothers
#1523	1400	C1. Message Transmission Error (easy version)
#1524	1700	C2. Message Transmission Error (hard version)
#1525	800	A. Minimize!
#1526	800	B. osu!mania
#1527	1100	C. The Legend of Freya the Frog
#1528	1400	D. Satyam and Counting
#1529	1400	E. Klee's SUPER DUPER LARGE Array!!!
#1530	1700	F. Firefly's Queries
#1531	1900	G1. Yunli's Subarray Queries (easy version)
#1532	2200	G2. Yunli's Subarray Queries (hard version)
#1533	2700	G3. Yunli's Subarray Queries (extreme version)
#1534	800	A. Sakurako's Exam
#1535	800	B. Square or Not
#1536	800	C. Longest Good Array
#1537	1100	D. Sakurako's Hobby
#1538	1500	E. Alternating String
#1539	1400	F. Sakurako's Box
#1540	1800	G. Sakurako's Task
#1541	2100	H. Sakurako's Test
#1542	800	A. Dora's Set
#1543	900	B. Index and Maximum Value
#1544	1500	C. Dora and C++
#1545	1700	A. Iris and Game on the Tree
#1546	1800	B. Iris and the Tree
#1547	2300	C. Eri and Expanded Sets
#1548	2600	D. Iris and Adjacent Products
#1549	3100	E. Iris's Full Binary Tree
#1550	3500	F. Dora's Paint
#1551	900	A. Simple Palindrome
#1552	1000	B1. The Strict Teacher (Easy Version)
#1553	1200	B2. The Strict Teacher (Hard Version)
#1554	1800	C. Lazy Narek
#1555	2400	D. Alter the GCD
#1556	2100	E1. Subtangle Game (Easy Version)
#1557	2500	E2. Subtangle Game (Hard Version)
#1558	800	A. Closest Point
#1559	1000	B. Game with Doors
#1560	1100	C. Splitting Items
#1561	1600	D. Colored Portals
#1562	2100	E. Not a Nim Problem
#1563	2600	F. Make a Palindrome
#1564	3200	G. Substring Compression
#1565	800	A. Turtle and Good Strings
#1566	800	B. Turtle and Piggy Are Playing a Game 2
#1567	1200	C. Turtle and Good Pairs
#1568	1500	D1. Turtle and a MEX Problem (Easy Version)
#1569	2100	D2. Turtle and a MEX Problem (Hard Version)
#1570	2600	E1. Turtle and Inversions (Easy Version)
#1571	2700	E2. Turtle and Inversions (Hard Version)
#1572	2800	F. Turtle and Three Sequences
#1573	800	A. Distanced Coloring
#1574	1000	B. Removals Game
#1575	1200	C. Black Circles
#1576	1900	D1. DFS Checker (Easy Version)
#1577	2300	D2. DFS Checker (Hard Version)
#1578	2300	E. Cosmic Rays
#1579	2600	F1. Court Blue (Easy Version)
#1580	2800	F2. Court Blue (Hard Version)
#1581	3400	G. Lattice Optimizing
#1582	3500	H. Counting 101
#1583	800	A. Make All Equal
#1584	800	B. Generate Permutation
#1585	1500	C. Guess The Tree
#1586	1900	D. Longest Max Min Subsequence
#1587	2400	E1. Deterministic Heap (Easy Version)
#1588	2900	E2. Deterministic Heap (Hard Version)
#1589	800	A. Primary Task
#1590	800	B. Seating in a Bus
#1591	1000	C. Numeric String Template
#1592	1200	D. Right Left Wrong
#1593	1400	E. Photoshoot for Gorillas
#1594	1900	F. Color Rows and Columns
#1595	2100	G. Call During the Journey
#1596	2200	H. Ksyusha and the Loaded Set
